,School_ID,Zip,Ethnic_Minority_Percentage,Low_Income_Percentage,Special_Ed_Percentage,English_Learners_Percentage,College_Enrollment_Rate_School
4,400119,60624,1.0,0.8433179723502304,0.19815668202764977,0.004608294930875576,62.0
5,400176,60629,1.0,0.7814569536423841,0.19205298013245034,0.10596026490066225,10.5
25,609693,60624,0.9682926829268292,0.7739837398373983,0.08455284552845528,0.05853658536585366,86.2
28,609709,60629,0.9913544668587896,0.8472622478386167,0.1873198847262248,0.3919308357348703,48.0
30,610558,60652,0.9947534102833159,0.8604407135362014,0.1720881427072403,0.20356768100734524,59.2
32,400173,60632,0.9703703703703703,0.8666666666666667,0.16049382716049382,0.254320987654321,16.7
37,400051,60642,0.9716417910447761,0.764179104477612,0.12686567164179105,0.24029850746268658,86.7
46,400085,60632,0.9808612440191388,0.8516746411483254,0.17703349282296652,0.4130781499202552,58.7
47,610245,60644,1.0,0.9142857142857143,0.22857142857142856,0.0,33.3
48,609698,60652,0.987719298245614,0.7894736842105263,0.25263157894736843,0.21228070175438596,49.3
49,400145,60616,0.98989898989899,0.7575757575757576,0.25252525252525254,0.020202020202020204,7.2
59,609751,60653,0.9914529914529915,0.7678062678062678,0.13247863247863248,0.014245014245014245,86.6
61,400150,60619,1.0,0.8902439024390244,0.21951219512195122,0.0,20.0
65,610587,60615,0.9959349593495935,0.7967479674796748,0.19308943089430894,0.008130081300813009,56.8
77,400143,60612,0.96,0.6533333333333333,0.24,0.02666666666666667,9.5
81,400129,60637,1.0,0.7346938775510204,0.22448979591836735,0.02040816326530612,7.0
85,400098,60602,0.9854318418314256,0.7960457856399584,0.12903225806451613,0.14360041623309053,75.3
86,610390,60634,0.8656126482213439,0.6976284584980237,0.15810276679841898,0.233201581027668,56.9
94,609712,60619,0.9615384615384616,0.7211538461538461,0.2692307692307692,0.0,27.3
103,609680,60610,0.6507936507936508,0.32142857142857145,0.09682539682539683,0.023809523809523808,88.7
104,610323,60617,0.9940828402366864,0.8284023668639053,0.34911242603550297,0.11242603550295859,45.1
106,609738,60614,0.6779580152671756,0.44656488549618323,0.07251908396946564,0.07061068702290077,81.8
112,610568,60618,0.9310344827586207,0.8241379310344827,0.20344827586206896,0.1413793103448276,18.3
117,609730,60660,0.8136645962732919,0.7073844030365769,0.13388543823326432,0.2608695652173913,69.2
119,610564,60618,0.8261455525606469,0.623989218328841,0.15768194070080863,0.11590296495956873,74.3
121,609704,60623,0.9938524590163934,0.9036885245901639,0.2540983606557377,0.38114754098360654,45.2
134,610571,60612,0.9928057553956835,0.8201438848920863,0.15827338129496402,0.04316546762589928,16.3
137,609759,60622,0.9690860215053764,0.7110215053763441,0.21774193548387097,0.4032258064516129,48.9
